@@,item,itemlabel,startdate,enddate
->,Q1200274,Dermot Lacey,2002-06->2002,2003-06->2003
->,Q335783,Michael Conaghan,2004-06-05->2004,2005-06-05->2005
->,Q540826,Catherine Byrne,2005-06-05->2005,2006-06-06->2006
->,Q204172,Vincent Jackson,2006-06-05->2006,2007-06-07->2007
->,Q55628347,Paddy Bourke,2007-06->2007,2008-06->2008
->,Q1301175,Eibhlin Byrne,2008-06-30->2008,2009-06-30->2009
->,Q525437,Emer Costello,2009-06-15->2009,2010-06-26->2010
->,Q179332,Gerry Breen,2010-06->2010,2011-06->2011
->,Q177830,Andrew Montague,2011-06-05->2011,2012-06-06->2012
->,Q254202,Naoise Ó Muirí,2012-06-06->2012,2013-06-07->2013
->,Q14899977,Oisín Quinn,2013-06-12->2013,2014-06-12->2014
->,Q5113623,Christy Burke,2014-06->2014,2015-06->2015
->,Q20713424,Críona Ní Dhálaigh,2015-06-05->2015,2016-06-06->2016
->,Q25993038,Brendan Carr,2016-06->2016,2017-06->2017
->,Q41536567,Mícheál Mac Donncha,2017-06-05->2017,2018-06-06->2018
->,Q55973494,Nial Ring,2018-06->2018,2019-06->2019
->,Q28363948,Paul McAuliffe,2019-06-12->2019,2020-02-13->2020
->,Q55083474,Tom Brabazon,2020-02->2020,2020-06-29
->,Q81771877,Hazel Chu,2020-06-29->2020,2021-06-28->2021
->,Q107379317,Alison Gilliland,2021-06-29->2021,
